ID,MONEY_VALUE
436,$85000
437,"$600,00"
438,$70.00
439,$27
440,$16
441,$#@$%
442,$&
443,#$^*##%^&amp;@gmail.com
444,$599.00
445,"$21,000.00"
446,$2286
447,$64
448,$2464
449,"$2,850"
450,400 dollar
451,$80/hour
452,$75/hour
453,$3250
454,$3200
455,$1.500
456,20$
457,i won
458,$2200
459,$4598.54
460,$18.65
461,#250
462,$2900/month
463,$1250
464,$197
465,$997
466,"$2,490"
467,$560
468,$370
469,"$2,500.00"
470,"$65,000.00"
471,$4838.00
472,$4838
473,$430.00
474,$860
475,"$2,374"
476,"$1,860"
477,$27.55
478,$299.00
479,$199.00
480,"$8,900"
481,$ 25
482,$ 28
483,$2
484,$3634
485,$2350
486,$1950
487,$4855
488,$1000s in dollars
489,$400 2
490,$149
491,$352.51
492,$75.95
493,$420
494,dollars
495,$1300
496,$60k
497,$10k
498,$200.00
499,$705
500,"$3,000.00"
501,"$50,000"
502,"$200,000"
503,400$
504,"$3,999"
505,"$3,600.22"
506,$24/hr
507,"$1,050.00"
508,"$ 2,950.52"
509,$2650.95
510,$289.00
511,$571.25
512,"$2,950.00"
513,$4.05
514,$1760.00
515,"$2,900"
516,$150 dollars
517,$29
518,$18/hour
519,"$3,860.00"
520,$200/month
521,$690
522,$348.25
523,$75.00
524,#507
525,$19.00
526,$3300
527,"$1,870"
528,"$1,777"
529,"$1,900"
530,"$1,780"
531,"$1,700"
532,"$1,400"
533,$9000
534,$4740
535,"$10,9450,00"
536,"$4740,000"
537,"$6,100"
538,"$4,740"
539,"$100,000.00"
540,$5000.00
541,"$369,018.70"
542,"$88,360.00"
543,"$280,658.70"
544,"$2,455"
545,$2455
546,$rosiehk
547,$1280/wk
548,# 425.333.3032
549,# !!!!
550,$faruqbello21
551,$shaniitee
552,$300/week
553,$23
554,$15.00
555,"$2,570.00"
556,$1750
557,$3210
558,$480 dollars
559,$1680
560,$382.00
561,#285
562,$15/hr
563,"$2,987.00"
564,$100 ****************
565,fifty dollars
566,2950 dollars
567,$3350
568,$4000.00
569,$4900.00
570,"$4,416"
571,$$$.
572,"$91,000.00"
573,"$86,000.00"
574,"$1,092"
575,"$7,500"
576,"$1,250"
577,$280
578,"$1,350"
579,"$2,180.00"
580,$1550
581,$18.50
582,$25.50
583,$1000 once
584,# 4620001
585,$31
586,# 105
587,$4770
588,"$2,850.25"
589,#110
590,$3000/month
591,2#
592,$tnango
593,$lynettehamilton10
594,30$
595,$14300.00
596,#5684
597,$2430.00
598,"$2,950.43 dollars"
599,260 dollars
600,$29.75
601,$3500.55
602,$450.00
603,$250.00
604,$1900.00
605,$30 hour
606,$199
607,$3700
608,$1860.30
609,"$6,000"
610,#303
611,50 dollars
612,$37/hr 28
613,$350 or $250
614,"$1,600"
615,"$1,975"
616,$926.40
617,$4950
618,$35.75
619,"$1,950"
620,$310
621,#302
622,"$18,000"
623,$28k
624,$1975
625,"$55,000"
626,$55000
627,$200 dollars
628,thousands of dollars
629,$12716
630,50$ bonus
631,"$3,950.00"
632,"$2,350.00"
633,$3520.00
634,20$ bonus
635,3000$
636,"$4,980.40"
637,$19428
638,$7ooo
639,$12712
640,$18000
641,$54000
642,$138.000
643,500 dollar
644,$26.93
645,1500.00 dollars
646,500.00 dollars
647,$$ for
648,$2850.85
649,millions of dollars
650,$alexcruz16
651,"$8,640"
652,"$8,000"
653,"$5,900"
654,$170
655,$85
656,"$20 ,10391"
657,"$20 ,10421"
658,$320
659,#903581
660,#10890
661,#10840
662,#10605
663,# 10503
664,#10453
665,$20.01/31/20
666,"$1,999.50"
667,$4118.00
668,$47 dollars
669,$von0419
670,$shantiv
671,"$24,000.00"
672,$45.00
673,"$10,000.00"
674,$1500.00
675,$1850.00
676,"$2,725.00"
677,"$102,000"
678,"$2,223.00"
679,$223
680,10 million dollar
681,$1700.00
682,$360.00
683,"$1,300"
684,$2850.75
685,$23.00
686,"$2000,00 dollars"
687,one penny
688,$800/week
689,$1970.50
690,$8400
691,$98.48
692,$400.00
693,$2950.80
694,$.58
695,$4200/2
696,$110 shopping
697,#92055901755477021000030314
698,$2200/month
699,$99
700,# 49241
701,20 cent
702,$1600
703,$367.80
704,"$102,000.00"
705,"$1,480.00"
706,$950.00
707,$900.00
708,$2900
709,$3
710,"$4,900"
711,$7000
712,$90.00
713,$3750.00
714,"$3,450"
715,$30k
716,"$2,600"
717,"$1,970"
718,$kanda1977
719,$620
720,$500.00 dollars
721,$399
722,$2687.98
723,$295.00
724,$40/hr
725,$740
726,$15.50
727,$35/hr
728,"$2,800"
729,"$1,000.00"
730,"$1,500.00"
731,$35.00
732,#_____________________
733,450 dollars
734,$5346.00
735,$3950.63
736,"$ 3,000.00"
737,$2.000.00
738,$340
739,$140.00
740,$2600.00+140.00
741,$2740.00
742,"$3,300"
743,25 dollars
744,"$4,650.30"
745,"$2,987"
746,$3500 dollars
747,"$4,955.00"
748,$2537.71
749,$630
750,$00
751,"$2,200"
752,$385
753,#6
754,#7
755,#8
756,"$4,980.00"
757,"$3,200"
758,"$4,900.00"
759,30 dollars
760,"$2,985"
761,"$9,000"
762,"$17,000"
763,"$ 8,600.00"
764,"$ 1,000"
765,$ 350
766,$500 dollars
767,"$2,650.00"
768,$xxx
769,100$ registration
770,199$ for
771,200$.
772,200$ cash
773,200$
774,$.
775,300$
776,$2450.65
777,$1640.44
778,$315
779,"$2,620"
780,950 dollars
781,$3780
782,$54.00
783,$721
784,$725
785,$199 more dollars
786,"$2,750"
787,"$2,978.45"
788,#81-5118
789,$470.00
790,18$
791,$ 230
792,$ 30
793,5 thousand dollars
794,$249
795,"$1,980"
796,5 thousand canadian dollars
797,$3100
798,"$1,890"
799,us$4700
800,us$30
801,us$ 3636.36
802,us$35
803,us$12
804,us$1109.01
805,us$
806,"$6,576.23"
807,"$6,000.00"
808,$576.23
809,$2855.00
810,$700.00
811,$765
812,"$7,000"
813,"$2,250"
814,"$3,277.00"
815,$500.00 week
816,$2980
817,$2300 $1700
818,$55.00
819,$2800.00
820,$364
821,$2650
822,$$$
823,$50/hr
824,"$3,800.00"
825,$1400
826,"$4,835.70"
827,$20 bucks
828,"$2,150.00"
829,$20 dollars
830,"$3,987.78"
831,$9
832,#32000
833,"$100,000"
834,$543
835,$266
836,$2766
837,"$4,989"
838,"$4,440"
839,$3880 + $560
840,$129.00
841,$96
842,$1350
843,$2995.95
844,$2600 dollar
845,$499.00
846,$1000 dollars
847,$1500 dollars
848,"$3,700"
849,$670
850,$360
851,25$ bonus
852,"$3,150"
853,$3900 won
854,$65.50
855,$297
856,$641.00
857,$24
858,$47.00
859,$149.00
860,$297.00
861,25$
862,3800$.
863,"$25,000.00"
864,"$175,000.00"
865,"$150,000.00"
866,hundreds of thousands of dollars
867,$323.00
868,"$3,500.00"
869,#553238132
870,$4300
871,$1.65
872,$8.25
873,"$2,400.00"
874,$10.69
875,$1400.00
876,"3,000$"
877,# 520-437-9396
878,$1500/1700
879,#9405 5126 9935 0104
880,#00613803
881,"$2,410"
882,# 458-800-1390
883,#336-477-9087
884,$0.00
885,$2100
886,$cloestar13
887,"$6,600"
888,$6658.00
889,"$1,100"
890,$1150.14
891,$92.86
892,$292.86
893,$950.14
894,$2930.00
895,$50 using $10
896,$3575
897,$24.80
898,minus of several hundred dollars
899,"$2,484.57"
900,$3565.33
901,# 0108993713
902,#011201539
903,# 108993713
904,32 dollars
905,100 dollars
906,$ 2000
907,$1890
908,"$4,870.88"
909,$***
910,"$19,000"
911,"$25,000"
912,$ 900
913,$520
914,$6184.69
915,$42.50
916,$3600
917,$60.00
918,"$2,100"
919,381#
920,"$1,995"
921,"$7,400"
922,$20.75
923,$35 hr
924,$3230
925,$475
926,"$33,750"
927,"$16,875"
928,"$5,100"
929,$625
930,$507
931,300 dollars
932,$97.00
933,$$$$$.
934,"$10,997.00"
935,$400.00 sometimes $500.00
936,"$54,000"
937,$1800.00
938,$1588
939,"$2,850.90"
940,"$2,550.90"
941,"$ -2,790.73"
942,$5400.00+ $.
943,$2850.88
944,$0.88
945,"$3,750"
946,$168
947,$520.00
948,"$1,830.00"
949,$970
950,$4
951,"$7,630.00"
952,$72000
953,$ 2500/month
954,$7.35
955,$367
956,4000$/month
957,$860 dollars
958,$23.99
959,"$2,450.00"
960,$15/h
961,$50 equaling $300
962,$2500.00
963,"$ 3,654.00"
964,$19.95
965,$2100 dollars
966,$2884.61
967,#-lrb-210-rrb-6602702
968,"$2,050"
969,$45/hr
970,$2496
971,$190
972,$2490
973,300$ was
974,$380.00usd
975,$446.90usd
976,$880.00usd
977,$2959
978,$345.00
979,"$73,000"
980,"$120,000"
981,$2-3
982,$20 minimum
983,"$1,350.00"
984,5 dollar
985,10 dollar
986,1 dollar
987,$2695
988,$2450.42
989,$2.897.00
990,"$2,493.75"
991,$599
992,$25.90
993,$2.00
994,multi billion dollar
995,$375
996,$1330
997,"$9,020"
998,$3.125.00 2
999,$5.895.00 2
1000,"$6,083"
1001,"$10,020"
1002,$4.700
1003,$5800
1004,$186
1005,$3.95
1006,$993.50
1007,"$3,450.42"
1008,$950.37 cents
1009,$400 ********
1010,"$95,000"
1011,$35.95
1012,$27.75
1013,$2300.00
1014,3000 dollars
1015,$95.30
1016,$528.00
1017,"$1,912.41"
1018,# 54758
1019,"$1,450"
1020,$45/hour
1021,$2500/month
1022,1700$ before
1023,"$5,500"
1024,$3585
1025,$27.00
1026,# 59
1027,$185.00
1028,$1660
1029,hundred dollars
1030,$3950
1031,$1
1032,$468.07
1033,$4890.00
1034,$120
1035,$275
1036,$3950.00
1037,$24.95
1038,"$15,000.00"
1039,"$12,750.00"
1040,$28/hour
1041,$48.00
1042,"us$ 3,850"
1043,"$3,400 dollars"
1044,$7900
1045,"$2,058.90"
1046,$91k
1047,$1000 & $950
1048,2800$
1049,$8200
1050,"$2,600.00"
1051,$4700
1052,3800$/
1053,$39.84
1054,$2990.45
1055,"$1,440"
1056,$1450
1057,$2870
1058,$2470
1059,$ i
1060,59$
1061,$34.75
1062,"$3,950.89"
1063,$500 000.00
1064,00 dollar
1065,"$ 1,948"
1066,$3550
1067,$3050
1068,"$2,400-5,200"
1069,us$9.81
1070,$2590.00
1071,$2950.00
1072,20 pounds
1073,$50/hour
1074,$13.75
1075,$28.75
1076,$45.95
1077,$3475
1078,"$2,130.00"
1079,$50.00-100.00
1080,#36
1081,$1950.37
1082,#10
1083,$33.92
1084,$1930
1085,$4600
1086,"$15,000"
1087,$185
1088,$985.00
1089,"$2,037"
1090,#4681445192
1091,"$3,600"
1092,#9470101699320012799168
1093,"$ 48,000"
1094,$3980
1095,$4989
1096,$-3776.54
1097,"$6,784.37"
1098,$500 dollar
1099,$1475.00
1100,$25-50
1101,"$147,300.00"
1102,$100/each
1103,$500/each
1104,$1053.58
1105,#781-384-6865
1106,2.700 $
1107,# 4301
1108,$34.00
1109,$510
1110,$780
1111,$720
1112,$794
1113,$100 one
1114,10 dollars
1115,"$2,360.30"
1116,"$65,000 year"
1117,"$4,800"
1118,"$4,963"
1119,"$2,880"
1120,3100$ all
1121,$880.80
1122,"$11,500"
1123,"$8,263"
1124,$x
1125,"$2,350"
1126,$1050
1127,three thousand and four hundred fifty dollars zero cents
1128,$450 agency
1129,$104k-ft
1130,# 5477908
1131,"$60,000"
1132,"$103,000"
1133,"$7,500.00"
1134,$753.25
1135,800.00 dollars
1136,50$.
1137,$650 dollar
1138,# 74
1139,$30.7
1140,"$1,200.00"
1141,$2450.00
1142,$1200.00
1143,"$2,400.00-5,200.00"
1144,"$37,200.00"
1145,$3 100
1146,one hundred dollars
1147,$ 3600 9
1148,"$2,780.30"
1149,$2080.30
1150,$500 $100 $100
1151,$100$100$100
1152,$653
1153,$1956.00
1154,$989
1155,$931.00
1156,# 10
1157,$10000.00
1158,"$40,000"
1159,# 1
1160,$25k
1161,#-lrb-803-rrb-816-0714
1162,$1500.47
1163,$27.95
1164,#9405 5126 9935 0108
1165,$67.00
1166,"$2200,00"
1167,$2480.00
1168,$2642.67
1169,$2550.89
1170,"$3,628.00"
1171,$1.6 billion
1172,$998
1173,$650-750
1174,$248
1175,996 dollars
1176,$2460
1177,"$567,000"
1178,4000$/
1179,$32
1180,"$5,899.90"
1181,"$1,900.00"
1182,$9800 dollars
1183,$50for
1184,$5250
1185,$48 dollars
1186,3000$/month
1187,$10/mile
1188,$45.75
1189,$180 dollars
1190,1500 dollars
1191,$ 180
1192,$198.00
1193,$40/pkg
1194,$5000 dollars
1195,$100 dollars
1196,$590
1197,$1500/month
1198,$2318.00
1199,"$8,080"
1200,"$ 5,000"
1201,$97 dollars
1202,$235
1203,$110
1204,$300/mo
1205,$2419.47
1206,"$4,100 hours"
1207,$50 commission
1208,$30/50
1209,us$ 1.55 billion
1210,us$ 216.05 million
1211,$750 dollars
1212,$675.00
1213,"$4,475.00"
1214,"$4,975.00"
1215,"$4,700"
1216,"$4,575.00"
1217,$2985
1218,$2.900 & $500
1219,$23.16
1220,$35.60
1221,"$2,465.00"
1222,$115
1223,$54.000
1224,$138k
1225,$1870.00
1226,$30 million
1227,$715
1228,$16.59
1229,$320.00
1230,$300-500
1231,$2890.00
1232,#1214812
1233,# 999218
1234,"$18,800"
1235,$200 & $100
1236,$2500/mo
1237,$12.35
1238,"$5,800"
1239,$189
1240,two hundred dollars
1241,$1655
1242,$1390.20
1243,190 dollars
1244,$400 denominations
1245,$988
1246,"$137,600.00"
1247,"$1,770"
1248,# 4062729683
1249,"$48,000 year"
1250,$26.75
1251,$350.99
1252,$1549
1253,$49.00
1254,$3k
1255,$0.50
1256,150 dollars
1257,$240
1258,#512
1259,$25.70
1260,"100,00 dollar"
1261,$6000
1262,$4793.00
1263,$3300.25
1264,$3000.25
1265,650$ weekly
1266,$5-10
1267,$848
1268,"$4,950.00"
1269,$200-400
1270,$335
1271,$39.00
1272,$500/week
1273,$1860.85
1274,"$88,000.00"
1275,$348
1276,# 7024258511
1277,"$50.00,100.00"
1278,16$
1279,$2955
1280,$19/hr
1281,"$20,000"
1282,$3665
1283,$ 500.00
1284,$33
1285,199 dollars
1286,$24.50
1287,$32/hour
1288,$1345
1289,# 609-756-3711
1290,$7800
1291,$90
1292,$35.00 hour
1293,"$1,175"
1294,$32/hr
1295,"$2,985.00"
1296,$1622
1297,",400$"
1298,300$ you
1299,300$.
1300,$****
1301,$*******
1302,$*
1303,$**
1304,410.00$ gas
1305,55.00$ bonus 200.00$ if
1306,$32 hr
1307,$20 commission
1308,$76
1309,"$1,564.05"
1310,$ 32
1311,$305
1312,"$1,550.00"
1313,$102k
1314,$32 hour
1315,"$174,000"
1316,$*****
1317,$32.00
1318,$28 dollars
1319,# 9405 5116 9900 0536
1320,$220
1321,$11.16
1322,$23 hr
1323,$25.95
1324,$ 100
1325,$4850.00
1326,"1,200 dollar"
1327,$200-300
1328,$250.00 dollars
1329,"$2,650"
1330,"$4,999.00"
1331,$6k
1332,200 dollars
1333,$30.75
1334,"$3,911.35"
1335,$835
1336,$3890
1337,$315.00
1338,$610
1339,$3990.00
1340,$20k
1341,"$1,620"
1342,49$.
1343,#422
1344,"$1,095"
1345,"$1,985"
1346,$1820.00
1347,$1798.64
1348,$41
1349,21.00 dollars
1350,$23hr
1351,$21/hr
1352,$5400.00
1353,$5k
1354,$15.05
1355,$14/hr
1356,$10/hr
1357,"$111,800"
1358,#866-408-2670
1359,$39.95
1360,1000 dollars
1361,4 100 dollar
1362,$990
1363,$1490
1364,$1990
1365,$3490
1366,"$1,980.00"
1367,"$2800,00"
1368,$35 hour
1369,$337
1370,$3450
1371,$4750.80
1372,"$1,390.00"
1373,$24.75
1374,$********
1375,$******** paying $******
1376,# 856 441-6944
1377,"$ 2,580"
1378,$ 400
1379,$2524
1380,$24.99
1381,$6464.00
1382,# 2804946966
1383,"$3,420 dollars"
1384,$987.64
1385,$986.44
1386,$9/hr
1387,"$8,500"
1388,$8000 ------
1389,# 116
1390,"$14,000"
1391,$49.87
1392,"$84,000.00"
1393,"$2,495.00"
1394,47$ for
1395,$1860.15
1396,"$3,750.00"
1397,$520.33
1398,$2250/month
1399,$2600/month
1400,60 dollars
1401,"$4,910"
1402,$612
1403,$312.00
1404,$17.75
1405,$340/week
1406,$500-600
1407,"2,660 dollars"
1408,"3,000 dollars"
1409,"1,100$"
1410,$148
1411,$350-500
1412,$1998.00
1413,"$1,8000"
1414,$2180.10
1415,$968
1416,$974
1417,$ 850
1418,$3895
1419,$ **
1420,$ ****
1421,$32- hour
1422,$40000.00
1423,"$2,375.00"
1424,"$2,375"
1425,"$2,426.00"
1426,"$5,600"
1427,30 dollar
1428,"$98,000"
1429,$2600.00
1430,"$ 4,950"
1431,$1890.00
1432,hundreds of dollars
1433,$900.00 dollars
1434,4000 dollars
1435,$12/hour
1436,$35hr
1437,780$ aweak
1438,$3755
1439,$37.98
1440,"$4,995.00"
1441,30 pounds
1442,"$38,000 hours"
1443,$2875
1444,$1850
1445,$3070.00
1446,"$1,933"
1447,100.00 dollars
1448,$1820.22
1449,$290.00
1450,"$3,020"
1451,$459.00
1452,"$2,030"
1453,"$2,015.80"
1454,*** dollars
1455,"$1,650.80"
1456,"$6,120.00"
1457,$1356.14
1458,"$2,925"
1459,$75 =======================================================================
1460,$2456.34
1461,$2850.80
1462,$395.00
1463,"$2,390"
1464,$500/wk
1465,20$ per
1466,220$.
1467,"$2,780"
1468,$13
1469,$913
1470,$911
1471,"$150,000"
1472,$1330.00
1473,"$4,850.10"
1474,#1015170
1475,$440.00
1476,$3865
1477,"$1,300.00"
1478,$14.5
1479,$2900.42
1480,140$
1481,$840.00
1482,$255.00
1483,$2460.00
1484,$2410.00
1485,$47/hr
1486,$500=$1000
1487,$2900.00
1488,$1300.00
1489,"us$ 7,000"
1490,#9405512699350103448217
1491,$4100
1492,$23000
1493,"$1,960 dollars"
1494,# 489
1495,# 25
1496,$6000 dollars
1497,"$20,700"
1498,$3620.00
1499,$3158
1500,$17.00
1501,twenty three dollars fifty six cent
1502,$190.00
1503,$*** $**
1504,"$1,380"
1505,"$2,988"
1506,$288
1507,"$500 = $2,500"
1508,$550.00
1509,$5890.00
1510,$3200.00
1511,$3350.00
1512,$46k
1513,"$57,500.00"
1514,$6000/month
1515,$35.05
1516,"$4,400"
1517,"$4,975"
1518,$86k/yr
1519,"$110,000"
1520,"$5,200.00"
1521,$*********
1522,$42.00
1523,$14.00
1524,"$2,959.47"
1525,"$<span style=""letter-spacing: -1.75pt;"">1"
1526,$6350.00
1527,$12-15
1528,$1245
1529,"$800,000"
1530,$ 50.00
1531,$ 20.00
1532,$750 $50
1533,$875.00
1534,"$1,750.00"
1535,$188
1536,$28.50
1537,$37.00
1538,$89
1539,4 dollars
1540,$519.00
1541,"1,783 dollars"
1542,"$1,850"
1543,$1986
1544,$85k
1545,$5800.00
1546,25 dollar
1547,$289
1548,10$
1549,#973-536-0669
1550,$4974.34
1551,"1,500 dollar"
1552,"1,700 dollars"
1553,2500 dollars
1554,900.00 dollars
1555,2500.00 dollar
1556,25-75 pounds
1557,$1220
1558,$910
1559,$920
1560,$720-minus $150
1561,$1378
1562,$1108
1563,$8.00
1564,$279
1565,"$3,430.00"
1566,$2150.00
1567,$1786.11
1568,$823 dollars
1569,"$1,650"
1570,"$89,000"
1571,$330.00
1572,"$4,698"
1573,"$98,400.00"
1574,$1431
1575,#60
1576,$20/per
1577,$20/package
1578,$300/day
1579,$25 hour
1580,$2400 + $100
1581,$147
1582,$20 hours a week
1583,$8550.00
1584,3000$ when
1585,$** dollars
1586,90 million
1587,$4 billion
1588,$19 billion
1589,$1 billion
1590,$2 billion
1591,$225.00
1592,$22.00
1593,$790
1594,$2500.00 + $25.00
1595,"$2,972.00"
1596,$24.30
1597,one thousand dollars
1598,$100for
1599,$$980
1600,"$1,500 400"
1601,$*** = $*****
1602,"$2,330.00"
1603,$994
1604,"$6,890.00"
1605,"$6,700"
1606,"$3,450.00"
1607,"$2,963.00"
1608,"$2,963.00 $600"
1609,forty three dollars
1610,"$500,000"
1611,"$36,150"
1612,"$5,057"
1613,$ 30.000
1614,"$45,000"
1615,$1970.40
1616,$1620.00
1617,2450$/
1618,$29/hour
1619,"$1,400.00"
1620,$27.8
1621,"$7,577.95"
1622,$1450.00
1623,"$2,900.00"
1624,$48
1625,1$
1626,5$
1627,$3932.00
1628,#350012
1629,$998.00
1630,$5950
1631,$805
1632,$905
1633,$345
1634,$390
1635,$5500
1636,# 972-509-8280
1637,$3820.00
1638,$2290
1639,$1465
1640,"$3,900.00"
1641,"$48,600"
1642,"$ 3,300"
1643,# 4
1644,# 5
1645,$1270
1646,"$5,550"
1647,several thousand dollars
1648,$360 bc
1649,"$130,000"
1650,"$35,000"
1651,"$75,000"
1652,$825
1653,"$2,550.00"
1654,$1020
1655,$980
1656,$350.27
1657,$14.50
1658,$2999.00
1659,# 2
1660,# 3
1661,$ 560
1662,$ 250
1663,$3945.00
1664,$******
1665,$50at
1666,$50and
1667,$5 dollar
1668,$1650.99
1669,2600$&
1670,$1990.00
1671,$828.00
1672,million dollar
1673,# 9405501699230137438038
1674,# 9405501699320141476279
1675,$1820
1676,99$
1677,"$1,462"
1678,$200 dollar
1679,"$4,710"
1680,"$84,000"
1681,$1663.94
1682,$815
1683,$785
1684,$7/hr
1685,$3698.98
1686,$14.15
1687,$580/week
1688,$550/week
1689,"$105,300.00"
1690,$500 one
1691,$1825
